#doneu m, a, b = 
#        x              poli            horner        diferencia
   7.805000e-01    2.391488e-05    2.455711e-05    6.422342e-07
   7.810000e-01    2.340038e-05    2.372265e-05    3.222667e-07
   7.815000e-01    2.335690e-05    2.419949e-05    8.425905e-07
   7.820000e-01    2.282495e-05    2.348423e-05    6.592800e-07
   7.825000e-01    2.299211e-05    2.217293e-05    8.191819e-07
   7.830000e-01    2.220126e-05    2.241135e-05    2.100860e-07
   7.835000e-01    2.224737e-05    2.193451e-05    3.128589e-07
   7.840000e-01    2.152509e-05    2.235174e-05    8.266561e-07
   7.845000e-01    2.099339e-05    2.127886e-05    2.854667e-07
   7.850000e-01    2.139452e-05    2.062321e-05    7.713170e-07
   7.855000e-01    2.101349e-05    2.014637e-05    8.671213e-07
   7.860000e-01    2.047914e-05    2.074242e-05    2.632787e-07
   7.865000e-01    2.021627e-05    1.955032e-05    6.659429e-07
   7.870000e-01    2.012201e-05    2.026558e-05    1.435656e-07
   7.875000e-01    1.876478e-05    1.955032e-05    7.855397e-07
   7.880000e-01    1.887189e-05    1.895428e-05    8.238385e-08
   7.885000e-01    1.902683e-05    1.943111e-05    4.042849e-07
   7.890000e-01    1.798912e-05    1.823902e-05    2.499037e-07
   7.895000e-01    1.805106e-05    1.841784e-05    3.667737e-07
   7.900000e-01    1.741030e-05    1.758337e-05    1.730696e-07
   7.905000e-01    1.781246e-05    1.722574e-05    5.867187e-07
   7.910000e-01    1.624265e-05    1.722574e-05    9.830910e-07
   7.915000e-01    1.700734e-05    1.662970e-05    3.776440e-07
   7.920000e-01    1.658340e-05    1.746416e-05    8.807656e-07
   7.925000e-01    1.661242e-05    1.758337e-05    9.709511e-07
   7.930000e-01    1.659178e-05    1.633167e-05    2.601046e-07
   7.935000e-01    1.612517e-05    1.573563e-05    3.895420e-07
   7.940000e-01    1.636354e-05    1.674891e-05    3.853620e-07
   7.945000e-01    1.546427e-05    1.519918e-05    2.650868e-07
   7.950000e-01    1.483165e-05    1.513958e-05    3.079340e-07
   7.955000e-01    1.471018e-05    1.442432e-05    2.858533e-07
   7.960000e-01    1.483359e-05    1.519918e-05    3.655932e-07
   7.965000e-01    1.456654e-05    1.448393e-05    8.261122e-08
   7.970000e-01    1.407991e-05    1.424551e-05    1.655962e-07
   7.975000e-01    1.469938e-05    1.317263e-05    1.526756e-06
   7.980000e-01    1.361859e-05    1.448393e-05    8.653433e-07
   7.985000e-01    1.290658e-05    1.275539e-05    1.511899e-07
   7.990000e-01    1.343492e-05    1.364946e-05    2.145453e-07
   7.995000e-01    1.311140e-05    1.311302e-05    1.622539e-09
   8.000000e-01    1.243795e-05    1.293421e-05    4.962612e-07
   8.005000e-01    1.327619e-05    1.245737e-05    8.188226e-07
   8.010000e-01    1.277361e-05    1.156330e-05    1.210306e-06
   8.015000e-01    1.207185e-05    1.144409e-05    6.277614e-07
   8.020000e-01    1.226951e-05    1.215935e-05    1.101653e-07
   8.025000e-01    1.188240e-05    1.204014e-05    1.577346e-07
   8.030000e-01    1.176287e-05    1.126528e-05    4.975946e-07
   8.035000e-01    1.172142e-05    1.114607e-05    5.753518e-07
   8.040000e-01    1.099429e-05    1.108646e-05    9.217183e-08
